algorithm,max_cpu,max_mem,max_cpu_per_bin,max_mem_per_bin,number_bins,number_occupied_bins,number_of_allocated_vms,number_of_rejected_vms,number_of_deleted_vms,fragmentation_cpu,fragmentation_mem,vm_size
bf,3720,7142.4,5,9.6,744,172,3818,0,98081,0.998258319,0.99860212,grande
bf,3720,7142.4,5,9.6,744,172,3818,0,98081,0.998258319,0.99860212,grande
bf,3720,7142.4,5,9.6,744,172,3818,0,98081,0.998258319,0.99860212,grande
bf,3720,7142.4,5,9.6,744,172,3818,0,98081,0.998258319,0.99860212,grande
bf,3720,7142.4,5,9.6,744,172,3818,0,98081,0.998258319,0.99860212,grande
bf,3720,7142.4,5,9.6,744,744,83115,16885,0,0.915458575,0.997799093,normal
bf,3720,7142.4,5,9.6,744,744,83115,16885,0,0.915458575,0.997799093,normal
bf,3720,7142.4,5,9.6,744,744,83115,16885,0,0.915458575,0.997799093,normal
bf,3720,7142.4,5,9.6,744,744,83115,16885,0,0.915458575,0.997799093,normal
bf,3720,7142.4,5,9.6,744,744,83115,16885,0,0.915458575,0.997799093,normal
bf,3722.5,7147.2,2.5,4.8,1489,347,3818,0,98081,0.999129917,0.999301548,grande
bf,3722.5,7147.2,2.5,4.8,1489,347,3818,0,98081,0.999129917,0.999301548,grande
bf,3722.5,7147.2,2.5,4.8,1489,347,3818,0,98081,0.999129917,0.999301548,grande
bf,3722.5,7147.2,2.5,4.8,1489,1489,82703,17297,0,0.96252906,0.998902625,normal
bf,3722.5,7147.2,2.5,4.8,1489,1489,82703,17297,0,0.96252906,0.998902625,normal
bf,3722.5,7147.2,2.5,4.8,1489,347,3818,0,98081,0.999129917,0.999301548,grande
bf,3722.5,7147.2,2.5,4.8,1489,347,3818,0,98081,0.999129917,0.999301548,grande
bf,3722.5,7147.2,2.5,4.8,1489,1489,82703,17297,0,0.96252906,0.998902625,normal
bf,3722.5,7147.2,2.5,4.8,1489,1489,82703,17297,0,0.96252906,0.998902625,normal
bf,3722.5,7147.2,2.5,4.8,1489,1489,82703,17297,0,0.96252906,0.998902625,normal
bf,3763,7149.7,1,1.9,3763,898,3818,0,98081,0.999656804,0.99972363,grande
bf,3763,7149.7,1,1.9,3763,898,3818,0,98081,0.999656804,0.99972363,grande
bf,3763,7149.7,1,1.9,3763,898,3818,0,98081,0.999656804,0.99972363,grande
ff,3720,7142.4,5,9.6,744,744,83097,16903,0,0.915197097,0.997799222,normal
ff,3720,7142.4,5,9.6,744,744,83097,16903,0,0.915197097,0.997799222,normal
ff,3720,7142.4,5,9.6,744,744,83097,16903,0,0.915197097,0.997799222,normal
ff,3720,7142.4,5,9.6,744,744,83097,16903,0,0.915197097,0.997799222,normal
ff,3720,7142.4,5,9.6,744,744,83097,16903,0,0.915197097,0.997799222,normal
ff,3720,7142.4,5,9.6,744,173,3818,0,98081,0.998258319,0.99860212,grande
ff,3720,7142.4,5,9.6,744,173,3818,0,98081,0.998258319,0.99860212,grande
ff,3720,7142.4,5,9.6,744,173,3818,0,98081,0.998258319,0.99860212,grande
ff,3720,7142.4,5,9.6,744,173,3818,0,98081,0.998258319,0.99860212,grande
ff,3720,7142.4,5,9.6,744,173,3818,0,98081,0.998258319,0.99860212,grande
bf,3763,7149.7,1,1.9,3763,3763,85605,14395,0,0.984007846,0.9995588,normal
ff,3722.5,7147.2,2.5,4.8,1489,1489,82453,17547,0,0.964702884,0.998903629,normal
ff,3722.5,7147.2,2.5,4.8,1489,1489,82453,17547,0,0.964702884,0.998903629,normal
ff,3722.5,7147.2,2.5,4.8,1489,1489,82453,17547,0,0.964702884,0.998903629,normal
bf,3763,7149.7,1,1.9,3763,3763,85605,14395,0,0.984007846,0.9995588,normal
ff,3722.5,7147.2,2.5,4.8,1489,349,3818,0,98081,0.999129917,0.999301548,grande
ff,3722.5,7147.2,2.5,4.8,1489,1489,82453,17547,0,0.964702884,0.998903629,normal
ff,3722.5,7147.2,2.5,4.8,1489,349,3818,0,98081,0.999129917,0.999301548,grande
ff,3722.5,7147.2,2.5,4.8,1489,1489,82453,17547,0,0.964702884,0.998903629,normal
ff,3722.5,7147.2,2.5,4.8,1489,349,3818,0,98081,0.999129917,0.999301548,grande
bf,3763,7149.7,1,1.9,3763,898,3818,0,98081,0.999656804,0.99972363,grande
ff,3722.5,7147.2,2.5,4.8,1489,349,3818,0,98081,0.999129917,0.999301548,grande
ff,3722.5,7147.2,2.5,4.8,1489,349,3818,0,98081,0.999129917,0.999301548,grande
bf,3763,7149.7,1,1.9,3763,898,3818,0,98081,0.999656804,0.99972363,grande
bf,3763,7149.7,1,1.9,3763,3763,85605,14395,0,0.984007846,0.9995588,normal
bf,3763,7149.7,1,1.9,3763,3763,85605,14395,0,0.984007846,0.9995588,normal
bf,3763,7149.7,1,1.9,3763,3763,85605,14395,0,0.984007846,0.9995588,normal
ff,3763,7149.7,1,1.9,3763,902,3818,0,98081,0.999656804,0.99972363,grande
ff,3763,7149.7,1,1.9,3763,902,3818,0,98081,0.999656804,0.99972363,grande
ff,3763,7149.7,1,1.9,3763,902,3818,0,98081,0.999656804,0.99972363,grande
ff,3763,7149.7,1,1.9,3763,3763,85516,14484,0,0.985096372,0.999558949,normal
ff,3763,7149.7,1,1.9,3763,3763,85516,14484,0,0.985096372,0.999558949,normal
ff,3763,7149.7,1,1.9,3763,3763,85516,14484,0,0.985096372,0.999558949,normal
ff,3763,7149.7,1,1.9,3763,902,3818,0,98081,0.999656804,0.99972363,grande
ff,3763,7149.7,1,1.9,3763,902,3818,0,98081,0.999656804,0.99972363,grande
ff,3763,7149.7,1,1.9,3763,3763,85516,14484,0,0.985096372,0.999558949,normal
ff,3763,7149.7,1,1.9,3763,3763,85516,14484,0,0.985096372,0.999558949,normal
wf,3720,7142.4,5,9.6,744,180,3818,0,98081,0.998258319,0.99860212,grande
wf,3720,7142.4,5,9.6,744,180,3818,0,98081,0.998258319,0.99860212,grande
wf,3720,7142.4,5,9.6,744,744,83116,16884,0,0.914920023,0.997799117,normal
wf,3720,7142.4,5,9.6,744,180,3818,0,98081,0.998258319,0.99860212,grande
wf,3720,7142.4,5,9.6,744,180,3818,0,98081,0.998258319,0.99860212,grande
wf,3720,7142.4,5,9.6,744,180,3818,0,98081,0.998258319,0.99860212,grande
wf,3720,7142.4,5,9.6,744,744,83116,16884,0,0.914920023,0.997799117,normal
wf,3720,7142.4,5,9.6,744,744,83116,16884,0,0.914920023,0.997799117,normal
wf,3720,7142.4,5,9.6,744,744,83116,16884,0,0.914920023,0.997799117,normal
wf,3720,7142.4,5,9.6,744,744,83116,16884,0,0.914920023,0.997799117,normal
wf,3722.5,7147.2,2.5,4.8,1489,351,3818,0,98081,0.999129917,0.999301548,grande
wf,3722.5,7147.2,2.5,4.8,1489,351,3818,0,98081,0.999129917,0.999301548,grande
wf,3722.5,7147.2,2.5,4.8,1489,351,3818,0,98081,0.999129917,0.999301548,grande
wf,3722.5,7147.2,2.5,4.8,1489,351,3818,0,98081,0.999129917,0.999301548,grande
wf,3722.5,7147.2,2.5,4.8,1489,351,3818,0,98081,0.999129917,0.999301548,grande
wf,3722.5,7147.2,2.5,4.8,1489,1489,82657,17343,0,0.962598838,0.998898181,normal
wf,3722.5,7147.2,2.5,4.8,1489,1489,82657,17343,0,0.962598838,0.998898181,normal
wf,3722.5,7147.2,2.5,4.8,1489,1489,82657,17343,0,0.962598838,0.998898181,normal
wf,3722.5,7147.2,2.5,4.8,1489,1489,82657,17343,0,0.962598838,0.998898181,normal
wf,3722.5,7147.2,2.5,4.8,1489,1489,82657,17343,0,0.962598838,0.998898181,normal
wf,3763,7149.7,1,1.9,3763,915,3818,0,98081,0.999656804,0.99972363,grande
wf,3763,7149.7,1,1.9,3763,915,3818,0,98081,0.999656804,0.99972363,grande
wf,3763,7149.7,1,1.9,3763,915,3818,0,98081,0.999656804,0.99972363,grande
wf,3763,7149.7,1,1.9,3763,3763,85710,14290,0,0.985064033,0.999558604,normal
wf,3763,7149.7,1,1.9,3763,915,3818,0,98081,0.999656804,0.99972363,grande
wf,3763,7149.7,1,1.9,3763,915,3818,0,98081,0.999656804,0.99972363,grande
wf,3763,7149.7,1,1.9,3763,3763,85710,14290,0,0.985064033,0.999558604,normal
wf,3763,7149.7,1,1.9,3763,3763,85710,14290,0,0.985064033,0.999558604,normal
wf,3763,7149.7,1,1.9,3763,3763,85710,14290,0,0.985064033,0.999558604,normal
wf,3763,7149.7,1,1.9,3763,3763,85710,14290,0,0.985064033,0.999558604,normal
